100	101	2500
101	102	1600
102	103	1400
103	104	1000
104	105	5600
105	106	2900
106	107	5300
107	108	1600
108	109	1300
109	110	1200
110	111	1600
111	112	1400
112	113	2300
113	114	1200
114	115	1300
115	116	1700
116	117	1000
117	118	1400
118	119	1100
119	120	1100
120	121	1400
121	122	800
122	123	800
123	124	1400
124	125	1000
125	126	900
126	127	700
127	128	600
128	129	800
129	130	900
130	131	800
131	132	1000
132	133	1100
133	134	1700
134	135	1500
135	136	2600
136	137	1500
137	138	800
138	139	1000
139	140	1500
140	141	1100
141	142	1400
142	143	1000
143	144	1300
144	145	1900
145	146	1300
146	147	1500
147	148	1100
148	149	1700
149	150	1000
150	151	1200
151	152	1500
152	153	1700
153	154	1500
154	155	1200
155	156	1200
156	157	1000
157	158	1000
158	159	1400
159	160	1200
160	161	1900
141	P142	2400
P142	P143	2000
P143	P144	1200
P144	P145	2300
P145	P146	1900
P146	P147	2400
P147	P148	2200
P148	P149	1400
P149	P150	2200
P150	P151	1600
P151	P152	2600
P152	P153	2900
P153	P154	2600
P154	P155	2100
P155	P156	2900
P156	P157	4300
P157	P158	2400
P158	P159	2700
P159	P160	2700
P160	P161	4000
P161	P162	3800
P162	P163	2200
P163	P164	4800
P164	P165	3700
P165	P166	9400
P166	P167	5400
P167	P168	3800
P168	P169	3000
P169	P170	1500
P170	P171	1500
P171	P172	1500
P172	P174	4900
P174	P176	4900
P176	P177	5100
P144	P144-1	4700
P157	P157-1	2200
