201	202	700
202	203	800
203	204	600
204	205	1000
205	206	900
206	207	900
207	208	800
208	209	1000
209	210	1100
210	211	800
211	212	1200
212	213	1600
213	214	900
214	215	1800
215	216	1000
216	217	1200
217	218	1200
218	219	1000
219	220	1300
220	221	1200
221	222	800
222	223	1200
223	224	700
224	225	1700
225	226	1600
226	227	1700
227	228	1000
228	229	1000
229	230	1100
230	231	1800
231	232	1100
232	233	1100
233	234	1800
234	235	1200
235	236	900
236	237	1100
237	238	2000
238	239	1100
239	240	1300
240	241	800
241	242	900
242	243	800
243	201	1100
211	211-1	2300
211-1	211-2	3300
211-2	211-3	4200
211-3	211-4	5400
234	234-1	1000
234-1	234-2	1700
234-2	234-3	1900
234-3	234-4	1400
