709	710	1400
710	711	1600
711	712	1400
712	713	1200
713	714	1100
714	715	1000
715	716	1300
716	717	800
717	718	900
718	719	900
719	720	1000
720	721	800
721	722	900
722	723	800
723	724	900
724	725	1100
725	726	1100
726	727	800
727	728	1000
728	729	2000
729	730	1100
730	731	900
731	732	1000
732	733	900
733	734	900
734	735	2200
735	736	1000
736	737	1000
737	738	2000
738	739	900
739	740	900
740	741	1200
741	742	800
742	743	900
743	744	1400
744	745	1100
745	746	800
746	747	1400
747	748	1300
748	749	1700
749	750	1500
750	751	2200
751	752	1200
752	753	900
753	754	1000
754	755	1100
755	756	900
756	757	1100
757	758	900
758	759	900
