409	410	1200
410	411	1000
411	412	1400
412	413	1300
413	414	1500
414	415	1400
415	416	1500
416	417	1300
417	418	1400
418	419	1000
419	420	900
420	421	1500
421	422	700
422	423	1300
423	424	700
424	425	700
425	426	900
426	427	1000
427	428	1200
428	429	700
429	430	1300
430	431	2700
431	432	1800
432	433	1100
433	434	1600
434	435	2000
435	436	1000
436	437	900
437	438	1000
438	439	1000
439	440	3000
440	441	1600
441	442	1300
442	443	2600
443	444	2300
444	445	1100
445	446	2600
446	447	2000
447	448	3700
448	449	1500
449	450	1600
450	451	1400
451	452	1500
452	453	1800
453	454	2200
454	455	2900
455	456	1400
